espn_id,name,team,position,points,bye,pass_yds,pass_tds,rec,rec_yds,rec_tds,rush_yds,rush_tds
2555356,Keenan Reynolds,SEA,WR,0,11,NA,NA,0,0,0,0,0
2555419,Pharoh Cooper,ARI,WR,0,12,NA,NA,0,0,0,0,0
2555473,Ricardo Louis,MIA,WR,0,5,NA,NA,0,0,0,0,0
2556381,Mike Thomas,LAR,WR,0,9,NA,NA,0,0,0,0,0
2556383,K.J. Brent,TB,WR,0,7,NA,NA,0,0,0,0,0
2556612,Tanner McEvoy,TEN,WR,0,11,NA,NA,0,0,0,0,0
2556616,Marken Michel,PHI,WR,0,10,NA,NA,0,0,0,0,0
2556661,Kalif Raymond,TEN,WR,0,11,NA,NA,0,0,0,0,0
2556672,Alonzo Russell,NYG,WR,0,11,NA,NA,0,0,0,0,0
2556805,Johnny Holton,PIT,WR,0,7,NA,NA,0,0,0,0,0
2556836,Duke Williams,BUF,WR,0,6,NA,NA,0,0,0,0,0
2556861,Jaydon Mickens,CAR,WR,0,7,NA,NA,0,0,0,0,0
2557032,Reece Horn,MIA,WR,0,5,NA,NA,0,0,0,0,0
2558025,DeAngelo Yancey,TEN,WR,0,11,NA,NA,0,0,0,0,0
2558071,Isaiah Ford,MIA,WR,0,5,NA,NA,0,0,0,0,0
2558095,Malachi Dupre,LAC,WR,0,12,NA,NA,0,0,0,0,0
2558254,Robert Davis,WAS,WR,0,10,NA,NA,0,0,0,0,0
2558808,Cyril Grayson,NO,WR,0,9,NA,NA,0,0,0,0,0
2558887,Trey Griffey,FA,WR,0,NA,NA,NA,0,0,0,0,0
2558911,C.J. Board,FA,WR,0,NA,NA,NA,0,0,0,0,0
2558912,Victor Bolden,BUF,WR,0,6,NA,NA,0,0,0,0,0
2558950,Keon Hatcher,OAK,WR,0,6,NA,NA,0,0,0,0,0
2558955,Cody Hollister,TEN,WR,0,11,NA,NA,0,0,0,0,0
2559007,Tim White,NYJ,WR,0,4,NA,NA,0,0,0,0,0
2559008,Isaac Whitney,HOU,WR,0,10,NA,NA,0,0,0,0,0
2559101,Travin Dural,NO,WR,0,9,NA,NA,0,0,0,0,0
2559131,Carlton Agudosi,PHI,WR,0,10,NA,NA,0,0,0,0,0
2559170,Amba Etta-Tawo,FA,WR,0,NA,NA,NA,0,0,0,0,0
2559176,Tanner Gentry,CHI,WR,0,6,NA,NA,0,0,0,0,0
2559235,Brandon Reilly,PIT,WR,0,7,NA,NA,0,0,0,0,0
2559278,Greg Ward,FA,WR,0,NA,NA,NA,0,0,0,0,0
2559286,Krishawn Hogan,IND,WR,0,6,NA,NA,0,0,0,0,0
2559324,Reggie Davis,DAL,WR,0,8,NA,NA,0,0,0,0,0
2559394,Lance Lenoir,DAL,WR,0,8,NA,NA,0,0,0,0,0
2560038,Jeff Badet,MIN,WR,0,12,NA,NA,0,0,0,0,0
2560783,Chris Lacy,DET,WR,0,5,NA,NA,0,0,0,0,0
2560787,Allen Lazard,GB,WR,0,11,NA,NA,0,0,0,0,0
2560812,Steven Mitchell,HOU,WR,0,10,NA,NA,0,0,0,0,0
2560838,Cam Phillips,BUF,WR,0,6,NA,NA,0,0,0,0,0
2560867,Jaleel Scott,BAL,WR,0,8,NA,NA,0,0,0,0,0
2560922,Jester Weah,HOU,WR,0,10,NA,NA,0,0,0,0,0
2560997,Davon Grayson,FA,WR,0,NA,NA,NA,0,0,0,0,0
2561012,Quadree Henderson,JAC,WR,0,10,NA,NA,0,0,0,0,0
2561067,Cam Sims,WAS,WR,0,10,NA,NA,0,0,0,0,0
2561130,Steve Ishmael,IND,WR,0,6,NA,NA,0,0,0,0,0
2561160,Austin Proehl,FA,WR,0,NA,NA,NA,0,0,0,0,0
2561257,Damoun Patterson,NE,WR,0,10,NA,NA,0,0,0,0,0
2561266,Teo Redding,FA,WR,0,NA,NA,NA,0,0,0,0,0
